,schedule_season,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium
2978,2011,ARI,21,19,SF,SF,-3.5,40.0,University of Phoenix Stadium
2979,2011,BAL,24,10,IND,BAL,-16.5,41.5,M&T Bank Stadium
2980,2011,CAR,23,31,ATL,ATL,-3.0,47.5,Bank of America Stadium
2981,2011,CIN,19,20,HOU,CIN,-3.0,37.0,Paul Brown Stadium
2982,2011,DAL,34,37,NYG,DAL,-4.5,50.5,AT&T Stadium
2983,2011,DEN,13,10,CHI,DEN,-3.5,35.5,Sports Authority Field at Mile High
2984,2011,DET,34,28,MIN,DET,-10.0,47.0,Ford Field
2985,2011,GB,46,16,LVR,GB,-11.5,49.5,Lambeau Field
2986,2011,JAX,41,14,TB,TB,-3.0,42.0,TIAA Bank Field
2987,2011,MIA,10,26,PHI,MIA,-3.0,44.5,Hard Rock Stadium
2988,2011,NYJ,37,10,KC,NYJ,-10.5,35.5,MetLife Stadium
2989,2011,LAC,37,10,BUF,LAC,-7.0,49.0,Qualcomm Stadium
2990,2011,TEN,17,22,NO,NO,-3.5,48.0,Nissan Stadium
2991,2011,WAS,27,34,NE,NE,-7.5,47.0,FedEx Field
2992,2011,SEA,30,13,LAR,SEA,-9.5,37.0,CenturyLink Field
2993,2011,ATL,41,14,JAX,ATL,-13.5,42.0,Georgia Dome
2994,2011,TB,15,31,DAL,DAL,-7.0,47.0,Raymond James Stadium
2995,2011,ARI,20,17,CLE,ARI,-6.5,37.5,University of Phoenix Stadium
2996,2011,BUF,23,30,MIA,BUF,-1.5,40.5,New Era Field
2997,2011,CHI,14,38,SEA,CHI,-3.5,35.0,Soldier Field
2998,2011,DEN,23,41,NE,NE,-7.5,47.5,Sports Authority Field at Mile High
2999,2011,HOU,13,28,CAR,HOU,-6.0,45.5,NRG Stadium
3000,2011,IND,27,13,TEN,TEN,-6.5,41.5,Lucas Oil Stadium
3001,2011,KC,19,14,GB,GB,-11.5,46.0,Arrowhead Stadium
3002,2011,MIN,20,42,NO,NO,-7.5,53.5,Mall of America Field
3003,2011,NYG,10,23,WAS,NYG,-6.0,46.5,MetLife Stadium
3004,2011,LVR,27,28,DET,DET,-1.5,47.5,Oakland Coliseum
3005,2011,PHI,45,19,NYJ,PHI,-3.0,44.0,Lincoln Financial Field
3006,2011,LAC,34,14,BAL,BAL,-2.5,44.0,Qualcomm Stadium
3007,2011,LAR,13,20,CIN,CIN,-7.0,39.0,Edward Jones Dome
3008,2011,SF,20,3,PIT,SF,-3.0,37.0,Candlestick Park
3009,2011,IND,19,16,HOU,HOU,-7.0,40.5,Lucas Oil Stadium
3010,2011,BAL,20,14,CLE,BAL,-11.0,38.0,M&T Bank Stadium
3011,2011,BUF,40,14,DEN,DEN,-3.0,43.5,New Era Field
3012,2011,CAR,48,16,TB,CAR,-7.5,48.0,Bank of America Stadium
3013,2011,CIN,23,16,ARI,CIN,-4.0,41.0,Paul Brown Stadium
3014,2011,DAL,7,20,PHI,PHI,-2.5,50.0,AT&T Stadium
3015,2011,DET,38,10,LAC,LAC,-1.0,53.0,Ford Field
3016,2011,KC,13,16,LVR,KC,-3.0,43.0,Arrowhead Stadium
3017,2011,NE,27,24,MIA,NE,-7.5,49.5,Gillette Stadium
3018,2011,NYJ,14,29,NYG,NYJ,-3.0,46.0,MetLife Stadium
3019,2011,PIT,27,0,LAR,PIT,-10.0,34.0,Heinz Field
3020,2011,SEA,17,19,SF,SF,-2.5,37.0,CenturyLink Field
3021,2011,TEN,23,17,JAX,TEN,-8.5,38.5,Nissan Stadium
3022,2011,WAS,26,33,MIN,WAS,-6.0,43.0,FedEx Field
3023,2011,GB,35,21,CHI,GB,-13.0,42.0,Lambeau Field
3024,2011,NO,45,16,ATL,NO,-7.0,52.5,Mercedes-Benz Superdome
3025,2011,ARI,23,20,SEA,ARI,-2.5,40.5,University of Phoenix Stadium
3026,2011,ATL,45,24,TB,ATL,-9.5,45.0,Georgia Dome
3027,2011,CIN,16,24,BAL,BAL,-2.5,38.0,Paul Brown Stadium
3028,2011,CLE,9,13,PIT,PIT,-7.0,33.0,FirstEnergy Stadium
3029,2011,DEN,3,7,KC,DEN,-2.0,37.5,Sports Authority Field at Mile High
3030,2011,GB,45,41,DET,DET,-6.5,42.0,Lambeau Field
3031,2011,HOU,22,23,TEN,TEN,-2.0,38.5,NRG Stadium
3032,2011,JAX,19,13,IND,JAX,-3.0,37.0,TIAA Bank Field
3033,2011,MIA,19,17,NYJ,MIA,-2.0,39.0,Hard Rock Stadium
3034,2011,MIN,13,17,CHI,MIN,-2.5,42.0,Mall of America Field
3035,2011,NE,49,21,BUF,NE,-10.0,50.0,Gillette Stadium
3036,2011,NO,45,17,CAR,NO,-7.0,55.0,Mercedes-Benz Superdome
3037,2011,NYG,31,14,DAL,NYG,-3.0,47.5,MetLife Stadium
3038,2011,LVR,26,38,LAC,LVR,-3.0,48.5,Oakland Coliseum
3039,2011,PHI,34,10,WAS,PHI,-7.0,44.5,Lincoln Financial Field
3040,2011,LAR,27,34,SF,SF,-12.5,34.5,Edward Jones Dome
3041,2012,NYG,17,24,DAL,NYG,-4.0,46.0,MetLife Stadium
3042,2012,ARI,20,16,SEA,SEA,-3.0,41.0,University of Phoenix Stadium
3043,2012,CHI,41,21,IND,CHI,-10.0,42.5,Soldier Field
3044,2012,CLE,16,17,PHI,PHI,-9.5,42.0,FirstEnergy Stadium
3045,2012,DEN,31,19,PIT,DEN,-2.0,45.5,Sports Authority Field at Mile High
3046,2012,DET,27,23,LAR,DET,-9.0,46.5,Ford Field
3047,2012,GB,22,30,SF,GB,-5.5,46.5,Lambeau Field
3048,2012,HOU,30,10,MIA,HOU,-13.5,41.5,NRG Stadium
3049,2012,KC,24,40,ATL,ATL,-2.5,43.0,Arrowhead Stadium
3050,2012,MIN,26,23,JAX,MIN,-3.5,38.0,Mall of America Field
3051,2012,NO,32,40,WAS,NO,-9.0,50.5,Mercedes-Benz Superdome
3052,2012,NYJ,48,28,BUF,NYJ,-3.0,39.0,MetLife Stadium
3053,2012,TB,16,10,CAR,CAR,-3.0,45.5,Raymond James Stadium
3054,2012,TEN,13,34,NE,NE,-6.5,48.0,Nissan Stadium
3055,2012,BAL,44,13,CIN,BAL,-7.0,43.0,M&T Bank Stadium
3056,2012,LVR,14,22,LAC,LVR,-1.0,47.5,Oakland Coliseum
3057,2012,GB,23,10,CHI,GB,-5.5,51.0,Lambeau Field
3058,2012,BUF,35,17,KC,BUF,-3.0,45.0,New Era Field
3059,2012,CAR,35,27,NO,NO,-3.0,54.0,Bank of America Stadium
3060,2012,CIN,34,27,CLE,CIN,-7.0,39.5,Paul Brown Stadium
3061,2012,IND,23,20,MIN,MIN,-3.0,45.5,Lucas Oil Stadium
3062,2012,JAX,7,27,HOU,HOU,-7.0,40.0,TIAA Bank Field
3063,2012,MIA,35,13,LVR,LVR,-2.0,41.0,Hard Rock Stadium
3064,2012,NE,18,20,ARI,NE,-13.5,47.0,Gillette Stadium
3065,2012,NYG,41,34,TB,NYG,-8.0,43.5,MetLife Stadium
3066,2012,PHI,24,23,BAL,PHI,-3.0,47.0,Lincoln Financial Field
3067,2012,PIT,27,10,NYJ,PIT,-4.5,43.0,Heinz Field
3068,2012,LAC,38,10,TEN,LAC,-6.0,43.5,Qualcomm Stadium
3069,2012,SF,27,19,DET,SF,-7.0,46.0,Candlestick Park
3070,2012,SEA,27,7,DAL,DAL,-3.0,43.0,CenturyLink Field
3071,2012,LAR,31,28,WAS,WAS,-3.5,42.5,Edward Jones Dome
3072,2012,ATL,27,21,DEN,ATL,-3.0,50.5,Georgia Dome
3073,2012,CAR,7,36,NYG,CAR,-3.0,49.0,Bank of America Stadium
3074,2012,ARI,27,6,PHI,PHI,-3.0,42.0,University of Phoenix Stadium
3075,2012,BAL,31,30,NE,BAL,-3.0,48.0,M&T Bank Stadium
3076,2012,CHI,23,6,LAR,CHI,-7.0,42.0,Soldier Field
3077,2012,CLE,14,24,BUF,BUF,-3.0,45.0,FirstEnergy Stadium
3078,2012,DAL,16,10,TB,DAL,-7.0,45.5,AT&T Stadium
3079,2012,DEN,25,31,HOU,HOU,-1.5,43.5,Sports Authority Field at Mile High
3080,2012,IND,17,22,JAX,IND,-3.0,42.0,Lucas Oil Stadium
3081,2012,MIA,20,23,NYJ,NYJ,-3.0,40.5,Hard Rock Stadium
3082,2012,MIN,24,13,SF,SF,-7.0,42.5,Mall of America Field
3083,2012,NO,24,27,KC,NO,-8.5,51.5,Mercedes-Benz Superdome
3084,2012,LVR,34,31,PIT,PIT,-4.0,45.0,Oakland Coliseum
3085,2012,LAC,3,27,ATL,LAC,-3.0,47.5,Qualcomm Stadium
3086,2012,TEN,44,41,DET,DET,-4.0,47.0,Nissan Stadium
3087,2012,WAS,31,38,CIN,WAS,-3.0,49.5,FedEx Field
3088,2012,SEA,14,12,GB,GB,-3.5,45.5,CenturyLink Field
3089,2012,BAL,23,16,CLE,BAL,-11.5,43.5,M&T Bank Stadium
