schedule_season,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium
2000,NYJ,23,30,DEN,NYJ,-3,45.5,Giants Stadium
2000,LVR,49,31,KC,LVR,-3.5,44,Oakland Coliseum
2000,PHI,16,13,DAL,PHI,-3,40,Veterans Stadium
2000,SEA,17,15,LAC,SEA,-4.5,39.5,Husky Stadium
2000,LAR,24,27,CAR,LAR,-13.5,59.5,Edward Jones Dome
2000,TEN,9,7,PIT,TEN,-8,36.5,Nissan Stadium
2000,GB,26,20,MIN,MIN,-3.5,47.5,Lambeau Field
2000,BUF,20,3,CHI,BUF,-7,39.5,New Era Field
2000,CAR,10,20,NO,NO,-2,37.5,Bank of America Stadium
2000,CLE,19,11,NE,NE,-7,32,FirstEnergy Stadium
2000,DAL,23,6,CIN,DAL,-8.5,39,Texas Stadium
2000,DET,13,10,ATL,DET,-8.5,40,Pontiac Silverdome
2000,IND,23,15,NYJ,IND,-6,52.5,RCA Dome
2000,JAX,21,28,SEA,JAX,-7.5,40.5,TIAA Bank Field
2000,MIN,31,14,ARI,MIN,-12.5,46,Mall of America Field
2000,NYG,24,38,LAR,LAR,-2,48.5,Giants Stadium
2000,PIT,23,26,PHI,PIT,-3.5,33,Three Rivers Stadium
2000,LAC,7,17,MIA,MIA,-5,33.5,Qualcomm Stadium
2000,SF,21,7,KC,KC,-3.5,52,Candlestick Park
2000,TB,20,15,GB,TB,-9,42,Raymond James Stadium
2000,TEN,23,24,BAL,TEN,-4,33,Nissan Stadium
2000,DEN,27,24,LVR,DEN,-3,50,Sports Authority Field at Mile High
2000,BAL,27,0,DAL,BAL,-7,36,M&T Bank Stadium
2000,CHI,13,10,TB,TB,-8,36,Soldier Field
2000,DEN,38,37,LAC,DEN,-9.5,42.5,Sports Authority Field at Mile High
2000,GB,26,24,IND,IND,-6,46,Lambeau Field
2000,KC,17,21,BUF,KC,-3,42,Arrowhead Stadium
2000,MIA,3,20,NYJ,MIA,-3.5,38.5,Hard Rock Stadium
2000,MIN,31,17,CAR,MIN,-9.5,46.5,Mall of America Field
2000,NE,16,13,CIN,NE,-7,36,Foxboro Stadium
2000,NO,22,31,LVR,LVR,-3,43,Mercedes-Benz Superdome
2000,NYG,21,31,DET,NYG,-5,36.5,Giants Stadium
2000,PHI,34,9,ARI,PHI,-7,38,Veterans Stadium
2000,PIT,24,34,JAX,PIT,-3,37,Three Rivers Stadium
2000,SF,16,6,ATL,SF,-5.5,47.5,Candlestick Park
2000,TEN,24,10,CLE,TEN,-16,35.5,Nissan Stadium
2000,LAR,20,33,WAS,LAR,-5.5,56,Edward Jones Dome
2000,DAL,15,27,MIN,MIN,-7,48,Texas Stadium
2000,DET,34,9,NE,DET,-6.5,38,Pontiac Silverdome
2000,ARI,7,31,NYG,NYG,-6,39,University of Phoenix Stadium
2000,BAL,44,7,CLE,BAL,-15,34,M&T Bank Stadium
2000,CIN,28,48,PIT,PIT,-4,34,Paul Brown Stadium
2000,IND,14,17,MIA,IND,-5.5,44.5,RCA Dome
2000,JAX,16,13,TEN,TEN,-3,41.5,TIAA Bank Field
2000,NYJ,17,10,CHI,NYJ,-7,39.5,Giants Stadium
2000,LVR,41,14,ATL,LVR,-11,44,Oakland Coliseum
2000,LAC,17,16,KC,KC,-3,41,Qualcomm Stadium
2000,SEA,31,38,DEN,DEN,-3,45.5,Husky Stadium
2000,LAR,24,31,NO,LAR,-13.5,53.5,Edward Jones Dome
2000,TB,31,17,BUF,TB,-4,37,Raymond James Stadium
2000,WAS,20,23,PHI,WAS,-7,37,FedEx Field
2000,CAR,31,14,GB,PICK,0,44,Bank of America Stadium
2000,MIN,24,17,DET,MIN,-9,48.5,Mall of America Field
2000,ATL,10,30,SEA,PICK,0,42,Georgia Dome
2000,BUF,6,33,MIA,BUF,-3.5,36,New Era Field
2000,CAR,16,3,LAR,LAR,-8,58,Bank of America Stadium
2000,CHI,6,28,GB,GB,-2.5,39,Soldier Field
2000,CIN,24,13,ARI,CIN,-4,38.5,Paul Brown Stadium
2000,JAX,48,0,CLE,JAX,-14.5,39,TIAA Bank Field
2000,NO,23,38,DEN,PICK,0,45,Mercedes-Benz Superdome
2000,NYJ,27,17,IND,NYJ,-2.5,44,Giants Stadium
2000,PHI,13,15,TEN,TEN,-3,36.5,Veterans Stadium
2000,PIT,21,20,LVR,LVR,-3,42,Three Rivers Stadium
2000,LAC,17,45,SF,SF,-2.5,44,Qualcomm Stadium
2000,TB,27,7,DAL,TB,-10,37,Raymond James Stadium
2000,WAS,7,9,NYG,WAS,-6,38,FedEx Field
2000,NE,30,24,KC,NE,-1,41,Foxboro Stadium
2000,BAL,24,3,LAC,BAL,-13.5,36.5,M&T Bank Stadium
2000,CHI,24,17,NE,CHI,-2,36.5,Soldier Field
2000,CLE,24,35,PHI,PHI,-14,35.5,FirstEnergy Stadium
2000,DAL,32,13,WAS,WAS,-6,39,Texas Stadium
2000,DEN,31,24,SEA,DEN,-10,48,Sports Authority Field at Mile High
2000,GB,26,13,DET,GB,-3.5,41,Lambeau Field
2000,JAX,44,10,ARI,JAX,-15,42,TIAA Bank Field
2000,KC,15,14,CAR,KC,-2.5,42,Arrowhead Stadium
2000,MIA,13,16,TB,MIA,-2.5,34.5,Hard Rock Stadium
2000,NYG,30,10,PIT,NYG,-3.5,35.5,Giants Stadium
2000,LVR,31,7,NYJ,LVR,-3.5,47,Oakland Coliseum
2000,SF,27,31,NO,SF,-3,47.5,Candlestick Park
2000,LAR,40,29,MIN,LAR,-3.5,56.5,Edward Jones Dome
2000,TEN,35,3,CIN,TEN,-13,36,Nissan Stadium
2000,IND,44,20,BUF,IND,-6,45,RCA Dome
2000,PIT,24,3,WAS,WAS,-1,37.5,Three Rivers Stadium
2000,SEA,27,24,LVR,LVR,-6,47.5,Husky Stadium
2000,ARI,7,13,BAL,BAL,-15,37.5,University of Phoenix Stadium
2000,BUF,10,13,NE,BUF,-4.5,39,New Era Field
2000,CAR,30,22,LAC,CAR,-8.5,38.5,Bank of America Stadium
2000,CIN,17,14,JAX,JAX,-10.5,42.5,Paul Brown Stadium
2000,CLE,0,24,TEN,TEN,-16,37,FirstEnergy Stadium
2000,DAL,13,17,NYG,NYG,-6.5,36,Texas Stadium
2000,KC,20,7,DEN,DEN,-3,47,Arrowhead Stadium
2000,MIA,13,20,IND,MIA,-3,42,Hard Rock Stadium
2000,MIN,28,33,GB,MIN,-7.5,49,Mall of America Field
2000,NO,23,7,ATL,NO,-10,41,Mercedes-Benz Superdome
2000,NYJ,7,10,DET,NYJ,-6.5,39.5,Giants Stadium
2000,SF,17,0,CHI,SF,-6,45.5,Candlestick Park
2000,TB,38,35,LAR,LAR,-1,49,Raymond James Stadium
2000,DEN,38,9,SF,DEN,-7,48.5,Sports Authority Field at Mile High
2000,NYG,28,25,JAX,NYG,-4,37.5,Giants Stadium
2000,SEA,23,42,BUF,SEA,-3,42.5,Husky Stadium
2000,ATL,29,13,KC,KC,-4.5,40.5,Georgia Dome
2000,BAL,34,20,NYJ,BAL,-6,35.5,M&T Bank Stadium
2000,DET,20,23,CHI,DET,-10,37,Pontiac Silverdome
2000,GB,17,14,TB,GB,-2.5,38,Lambeau Field
2000,IND,31,10,MIN,IND,-3,53.5,RCA Dome
2000,NE,24,27,MIA,MIA,-4,35,Foxboro Stadium
2000,NO,21,26,LAR,LAR,-3.5,56,Mercedes-Benz Superdome
2000,LVR,52,9,CAR,LVR,-9,45.5,Oakland Coliseum
2000,PHI,16,7,CIN,PHI,-10.5,35,Veterans Stadium
2000,LAC,21,34,PIT,PIT,-3,37.5,Qualcomm Stadium
2000,WAS,20,3,ARI,WAS,-7,38.5,FedEx Field
2000,TEN,31,0,DAL,TEN,-13.5,37.5,Nissan Stadium
2001,BAL,17,6,CHI,BAL,-10.5,33.5,M&T Bank Stadium
2001,BUF,6,24,NO,NO,-1.5,37.5,New Era Field
2001,CIN,23,17,NE,PICK,0,36,Paul Brown Stadium
2001,CLE,6,9,SEA,SEA,-4,38.5,FirstEnergy Stadium
2001,DAL,6,10,TB,TB,-9,34,Texas Stadium
2001,GB,28,6,DET,GB,-5.5,41.5,Lambeau Field
2001,JAX,21,3,PIT,JAX,-3,37.5,TIAA Bank Field
2001,KC,24,27,LVR,LVR,-3,43,Arrowhead Stadium
2001,MIN,13,24,CAR,MIN,-10,45,Mall of America Field
2001,NYJ,24,45,IND,IND,-1.5,44.5,Giants Stadium
2001,PHI,17,20,LAR,LAR,-3,46,Veterans Stadium
2001,LAC,30,3,WAS,LAC,-2.5,36.5,Qualcomm Stadium
2001,SF,16,13,ATL,SF,-3.5,46,Candlestick Park
2001,TEN,23,31,MIA,TEN,-6.5,34,Nissan Stadium
2001,DEN,31,20,NYG,DEN,-7,43.5,Sports Authority Field at Mile High
2001,ARI,17,38,DEN,DEN,-8.5,45,University of Phoenix Stadium
2001,ATL,24,16,CAR,ATL,-3.5,41,Georgia Dome
2001,CHI,17,10,MIN,MIN,-3,43.5,Soldier Field
2001,CIN,21,10,BAL,BAL,-7,33.5,Paul Brown Stadium
2001,CLE,24,14,DET,DET,-1.5,33,FirstEnergy Stadium
2001,DAL,21,32,LAC,LAC,-3.5,34,Texas Stadium
2001,IND,42,26,BUF,IND,-10,44.5,RCA Dome
2001,JAX,13,6,TEN,JAX,-2,36,TIAA Bank Field
2001,KC,3,13,NYG,KC,-1.5,39,Arrowhead Stadium
2001,MIA,18,15,LVR,MIA,-1.5,40,Hard Rock Stadium
2001,NE,3,10,NYJ,NYJ,-1.5,38.5,Foxboro Stadium
2001,SF,26,30,LAR,LAR,-6,50,Candlestick Park
2001,SEA,3,27,PHI,PHI,-2.5,37,Husky Stadium
2001,GB,37,0,WAS,GB,-8.5,41,Lambeau Field
2001,ARI,14,34,ATL,ATL,-3,42,University of Phoenix Stadium
2001,BUF,3,20,PIT,PIT,-3,36,New Era Field
2001,CAR,7,28,GB,GB,-3.5,41,Bank of America Stadium
2001,DEN,13,20,BAL,DEN,-4.5,41,Sports Authority Field at Mile High
2001,JAX,14,23,CLE,JAX,-8.5,35.5,TIAA Bank Field
2001,MIN,20,16,TB,TB,-2.5,39,Mall of America Field
2001,NE,44,13,IND,IND,-11.5,45,Foxboro Stadium
2001,NYG,21,13,NO,NYG,-3,37,Giants Stadium
2001,LVR,38,14,SEA,LVR,-10.5,39,Oakland Coliseum
2001,PHI,40,18,DAL,PHI,-13.5,34.5,Veterans Stadium
2001,LAC,28,14,CIN,LAC,-6.5,39,Qualcomm Stadium
2001,LAR,42,10,MIA,LAR,-6,44,Edward Jones Dome
2001,WAS,13,45,KC,KC,-3,35.5,FedEx Field
2001,NYJ,17,19,SF,NYJ,-3,44.5,Giants Stadium
2001,ATL,3,31,CHI,ATL,-3.5,39.5,Georgia Dome
2001,BAL,26,7,TEN,BAL,-3.5,33.5,M&T Bank Stadium
2001,BUF,36,42,NYJ,NYJ,-4.5,36,New Era Field
2001,CLE,20,16,LAC,LAC,-3,35,FirstEnergy Stadium
2001,DEN,20,6,KC,DEN,-10,48,Sports Authority Field at Mile High
2001,MIA,30,10,NE,MIA,-9.5,35,Hard Rock Stadium
2001,NO,28,15,MIN,NO,-3.5,44,Mercedes-Benz Superdome
2001,NYG,23,9,WAS,NYG,-14,36,Giants Stadium
2001,LVR,28,21,DAL,LVR,-18,41.5,Oakland Coliseum
2001,PHI,20,21,ARI,PHI,-14.5,41,Veterans Stadium
2001,PIT,16,7,CIN,PIT,-5,35.5,Heinz Field
2001,SF,24,14,CAR,SF,-6.5,45,Candlestick Park
2001,SEA,24,15,JAX,JAX,-3.5,35,Husky Stadium
2001,TB,14,10,GB,TB,-3,36.5,Raymond James Stadium
2001,DET,0,35,LAR,LAR,-12.5,48.5,Pontiac Silverdome
2001,ATL,31,37,SF,SF,-3,43.5,Georgia Dome
2001,CAR,25,27,NO,NO,-5,39.5,Bank of America Stadium
2001,CHI,20,13,ARI,CHI,-7,39.5,Soldier Field
2001,CIN,24,14,CLE,CIN,-1.5,35,Paul Brown Stadium
2001,GB,31,23,BAL,PICK,0,34,Lambeau Field
2001,IND,18,23,LVR,IND,-3.5,52,RCA Dome
2001,KC,17,20,PIT,KC,-2.5,36,Arrowhead Stadium
2001,MIN,31,26,DET,MIN,-10,44,Mall of America Field
2001,NE,29,26,LAC,LAC,-3,36,Foxboro Stadium
2001,NYJ,21,17,MIA,MIA,-3,38,Giants Stadium
2001,SEA,34,21,DEN,DEN,-6,44,Husky Stadium
2001,LAR,15,14,NYG,LAR,-10.5,45,Edward Jones Dome
2001,TEN,31,28,TB,TEN,-3,33,Nissan Stadium
2001,DAL,9,7,WAS,DAL,-3,37,Texas Stadium
2001,JAX,10,13,BUF,JAX,-9,38.5,TIAA Bank Field
2001,ARI,24,16,KC,KC,-2,41,University of Phoenix Stadium
2001,CIN,0,24,CHI,CIN,-1,36,Paul Brown Stadium
2001,CLE,24,14,BAL,BAL,-7.5,33,FirstEnergy Stadium
2001,DET,24,27,TEN,TEN,-5.5,38.5,Pontiac Silverdome
2001,IND,17,38,NE,IND,-10.5,48,RCA Dome
2001,MIN,35,13,GB,GB,-3,47.5,Mall of America Field
2001,NO,13,20,ATL,NO,-8,42,Mercedes-Benz Superdome
2001,NYJ,14,34,LAR,LAR,-7,46.5,Giants Stadium
2001,LAC,27,10,DEN,DEN,-2.5,43.5,Qualcomm Stadium
2001,TB,10,17,PIT,TB,-5,33.5,Raymond James Stadium
2001,WAS,17,14,CAR,CAR,-3.5,36,FedEx Field
2001,NYG,9,10,PHI,NYG,-3,35.5,Giants Stadium
2001,KC,28,35,IND,IND,-3,47.5,Arrowhead Stadium
2001,BAL,18,17,JAX,BAL,-7.5,33,M&T Bank Stadium
2001,CAR,12,13,NYJ,NYJ,-2.5,39,Bank of America Stadium
2001,CHI,37,31,SF,CHI,-2,39,Soldier Field
2001,DAL,17,3,ARI,ARI,-3,38,Texas Stadium
2001,DEN,31,20,NE,DEN,-7,43,Sports Authority Field at Mile High
2001,DET,27,31,CIN,DET,-3,39.5,Pontiac Silverdome
2001,PHI,10,20,LVR,PHI,-1,39,Veterans Stadium
2001,LAC,27,24,BUF,LAC,-7.5,39,Qualcomm Stadium
2001,SEA,20,24,MIA,MIA,-2.5,36.5,Husky Stadium
2001,LAR,31,34,NO,LAR,-12,48.5,Edward Jones Dome
2001,TB,41,14,MIN,TB,-3,38.5,Raymond James Stadium
2001,WAS,35,21,NYG,NYG,-7.5,33.5,FedEx Field
2001,PIT,34,7,TEN,PIT,-3,36,Heinz Field
2001,ARI,7,21,PHI,PHI,-7,39.5,University of Phoenix Stadium
2001,ATL,10,24,NE,ATL,-3,42.5,Georgia Dome
2001,BUF,14,30,IND,IND,-3,44.5,New Era Field
2001,CHI,27,21,CLE,CHI,-4.5,34,Soldier Field
2001,GB,21,20,TB,GB,-5,37,Lambeau Field
2001,MIA,23,6,CAR,MIA,-10,34.5,Hard Rock Stadium
2001,NO,9,16,NYJ,NO,-6.5,42.5,Mercedes-Benz Superdome
2001,NYG,27,24,DAL,NYG,-10.5,35.5,Giants Stadium
2001,PIT,10,13,BAL,PIT,-2,33,Heinz Field
2001,LAC,20,25,KC,LAC,-5.5,41,Qualcomm Stadium
2001,SF,21,13,DET,SF,-8.5,47,Candlestick Park
2001,TEN,28,24,JAX,TEN,-3,37.5,Nissan Stadium
2001,WAS,27,14,SEA,SEA,-2.5,37,FedEx Field
2001,LVR,38,28,DEN,LVR,-5.5,45.5,Oakland Coliseum
2001,ARI,10,17,NYG,NYG,-5.5,37.5,University of Phoenix Stadium
2001,ATL,20,13,DAL,ATL,-6,37,Georgia Dome
2001,CHI,12,20,GB,GB,-2.5,37.5,Soldier Field
2001,CLE,12,15,PIT,PIT,-3,33,FirstEnergy Stadium
2001,DEN,26,16,LAC,DEN,-5.5,45,Sports Authority Field at Mile High
2001,DET,17,20,TB,TB,-5,40,Pontiac Silverdome
2001,IND,24,27,MIA,IND,-3,44,RCA Dome
2001,JAX,30,13,CIN,JAX,-4,39.5,TIAA Bank Field
2001,NE,21,11,BUF,NE,-6,40,Foxboro Stadium
2001,NYJ,27,7,KC,NYJ,-4.5,40.5,Giants Stadium
2001,PHI,48,17,MIN,PHI,-4.5,41,Veterans Stadium
2001,SF,28,27,NO,SF,-3,45,Candlestick Park
2001,SEA,34,27,LVR,LVR,-6,43.5,Husky Stadium
2001,LAR,48,14,CAR,LAR,-18,47,Edward Jones Dome
2001,TEN,10,16,BAL,BAL,-1.5,35,Nissan Stadium
2001,ARI,45,38,DET,ARI,-2,39.5,University of Phoenix Stadium
2001,BAL,17,27,CLE,BAL,-8,33,M&T Bank Stadium
2001,BUF,20,23,SEA,SEA,-3.5,39,New Era Field
2001,CAR,22,25,SF,SF,-7,43,Bank of America Stadium
2001,CIN,7,20,TEN,CIN,-1.5,39.5,Paul Brown Stadium
2001,DAL,3,36,PHI,PHI,-7,37,Texas Stadium
2001,DEN,10,17,WAS,DEN,-8.5,43,Sports Authority Field at Mile High
2001,GB,20,23,ATL,GB,-10,39.5,Lambeau Field
2001,MIA,0,24,NYJ,MIA,-5.5,37.5,Hard Rock Stadium
2001,NE,17,24,LAR,LAR,-8.5,46.5,Foxboro Stadium
2001,NO,34,20,IND,NO,-5.5,47.5,Mercedes-Benz Superdome
2001,LVR,34,24,LAC,LVR,-9,45,Oakland Coliseum
2001,PIT,20,7,JAX,PIT,-5.5,36,Heinz Field
2001,TB,24,27,CHI,TB,-5,35,Raymond James Stadium
2001,MIN,28,16,NYG,MIN,-2,44,Mall of America Field
2001,DAL,24,26,DEN,DEN,-7,40.5,Texas Stadium
2001,DET,27,29,GB,GB,-7,47,Pontiac Silverdome
2001,BUF,27,34,MIA,MIA,-5,36,New Era Field
2001,CAR,7,10,ATL,ATL,-3,40,Bank of America Stadium
2001,CLE,18,0,CIN,CLE,-6,35.5,FirstEnergy Stadium
2001,IND,21,40,SF,IND,-2.5,52.5,RCA Dome
2001,JAX,21,24,BAL,BAL,-3,34,TIAA Bank Field
2001,KC,19,7,SEA,KC,-1.5,41,Arrowhead Stadium
2001,MIN,6,13,CHI,MIN,-3,45,Mall of America Field
